Number of C5.0 Attributes,Number of Event Types,Number of Values,Number of Selection Constraints,Number of Attributes,Number of Relevant Types,Window,Number of Errors,Original Precision,Original Recall,Original F-score,Misclassification Cost Estimate,Final Precision,Final Recall,Final F-score,iCEP Precision,iCEP Recall,iCEP F-score
165,15,500,2,4,5,10,1028,0.9927029039463887,1.0,0.9963380913235184,3.3333332538604736,0.9934426229508196,1.0,0.9967105263157894,0.9998644527278888,0.9287378029587662,0.9629895561357702
135,15,500,1,2,2,10,368,0.9837901562039493,0.9998502321401828,0.9917551808660774,2.0,0.9922722544211622,1.0,0.9961211397881545,0.9997491219267436,0.977554274500184,0.9885271317829457
135,15,500,1,2,3,10,529,0.9969092721834496,1.0,0.9984522442458436,NaN,0.9969092721834496,1.0,0.9984522442458436,1.0,0.9950521028562861,0.9975199158274464
135,15,500,1,2,5,10,919,0.997456232231034,1.0,0.998726496366769,2.0,0.9976055073331338,1.0,0.9988013185495954,1.0,1.0,1.0
105,15,500,0,0,2,10,12581,0.853021821089912,1.0,0.9206818952495452,8.0,0.9844419539851011,1.0,0.9921599893694771,1.0,1.0,1.0
105,15,500,0,0,3,10,4900,0.9174348065863074,1.0,0.9569397649765798,7.333333492279053,0.9963210130047913,1.0,0.9981571165302362,1.0,1.0,1.0
105,15,500,0,0,5,10,903,0.9890289103039288,0.9989517819706499,0.9939655814646502,6.0,0.9937425506555423,0.9988020365378856,0.996265870052278,1.0,1.0,1.0
675,30,5,4,8,2,10,366,0.9845932325413966,1.0,0.9922368134658637,3.3333332538604736,1.0,1.0,1.0,NaN,NaN,NaN
675,30,5,4,8,3,10,304,0.9962140081697718,1.0,0.998103413855061,1.3333333730697632,0.9975059856344772,1.0,0.9987514358487739,NaN,NaN,NaN
675,30,5,4,8,5,10,503,0.9959659345584939,1.0,0.9979788906355266,0.6666666865348816,0.9959659345584939,1.0,0.9979788906355266,NaN,NaN,NaN
615,30,5,3,6,2,10,217,0.9783467446964155,0.9988050784167289,0.988470066518847,2.0,0.9845451869296438,0.9991038088125467,0.9917710727259248,NaN,NaN,NaN
615,30,5,3,6,3,10,300,0.9919642857142857,1.0,0.9959659345584939,1.3333333730697632,0.9919642857142857,1.0,0.9959659345584939,NaN,NaN,NaN
615,30,5,3,6,5,10,507,0.9964125560538116,1.0,0.9982030548068284,0.6666666865348816,0.9937388193202147,1.0,0.996859578286227,NaN,NaN,NaN
555,30,5,2,4,2,10,389,0.978336342174698,1.0,0.9890495577706023,3.3333332538604736,0.9988657308946548,1.0,0.9994325436232089,1.0,0.9411141208338241,0.9696638757432351
555,30,5,2,4,3,10,217,0.9871820153815816,0.9992015968063872,0.9931554409284793,2.0,0.9903027904215318,0.9988023952095808,0.9945344330716486,1.0,0.9942464320406486,0.9971149162576343
555,30,5,2,4,5,10,459,0.9985020970641102,1.0,0.9992504871833308,1.3333333730697632,0.9982030548068284,1.0,0.9991007194244604,1.0,1.0,1.0
495,30,5,1,2,2,10,397,0.9692818596928185,1.0,0.9844013490725126,2.0,0.9910865874363328,1.0,0.9955233425708805,1.0,0.9519877315087885,0.9754033963860518
495,30,5,1,2,3,10,247,0.9942357384217849,1.0,0.9971095385228745,NaN,0.9942357384217849,1.0,0.9971095385228745,1.0,0.9736862003780719,0.9866676882997472
495,30,5,1,2,5,10,442,0.9971578160059835,1.0,0.9985768856265448,1.3333333730697632,0.9971578160059835,1.0,0.9985768856265448,1.0,1.0,1.0
435,30,5,0,0,2,10,1100,0.9586785752717099,0.9887902330743619,0.9735016117576354,2.0,0.9772451121175301,0.9819089900110988,0.9795714997508719,1.0,1.0,1.0
435,30,5,0,0,3,10,384,0.9853916386352715,0.9979560054506521,0.9916340248561343,2.6666667461395264,0.9922660479505027,0.9990266692622153,0.9956348821418177,1.0,1.0,1.0
435,30,5,0,0,5,10,391,0.9903489235337788,1.0,0.9951510630361805,3.3333332538604736,0.9909361069836553,0.9998500749625188,0.9953731343283582,1.0,1.0,1.0
675,30,50,4,8,2,10,215,0.9913741820345032,1.0,0.9956684092606423,0.6666666865348816,0.9884341637010676,1.0,0.9941834451901566,NaN,NaN,NaN
675,30,50,4,8,3,10,310,0.997207539642964,1.0,0.9986018176370718,NaN,0.997207539642964,1.0,0.9986018176370718,NaN,NaN,NaN
675,30,50,4,8,5,10,492,0.996859578286227,1.0,0.9984273197034373,0.6666666865348816,0.996859578286227,1.0,0.9984273197034373,NaN,NaN,NaN
615,30,50,3,6,2,10,189,0.9941834451901566,1.0,0.997083239847431,3.3333332538604736,0.9973070017953322,1.0,0.9986516853932585,NaN,NaN,NaN
615,30,50,3,6,3,10,315,0.9962140081697718,1.0,0.998103413855061,1.3333333730697632,0.9962140081697718,1.0,0.998103413855061,NaN,NaN,NaN
615,30,50,3,6,5,10,470,0.9980536008384489,1.0,0.9990258523791682,1.3333333730697632,0.9982030548068284,1.0,0.9991007194244604,NaN,NaN,NaN
555,30,50,2,4,2,10,215,0.9885858286391936,1.0,0.9942601565411852,NaN,0.9885858286391936,1.0,0.9942601565411852,0.998523076923077,0.9932664054848188,0.9958878045786536
555,30,50,2,4,3,10,307,0.996313272220008,1.0,0.9981532318442725,0.6666666865348816,0.9946284691136974,1.0,0.9973070017953322,1.0,0.9959208339628343,0.9979562485807282
555,30,50,2,4,5,10,469,0.9964125560538116,1.0,0.9982030548068284,NaN,0.9964125560538116,1.0,0.9982030548068284,1.0,1.0,1.0
495,30,50,1,2,2,10,860,0.9853922679763254,1.0,0.9926423950272739,5.333333492279053,0.9980867346938775,1.0,0.999042451324609,1.0,0.8621467712474482,0.9259708037620449
495,30,50,1,2,3,10,198,0.9956188389923329,1.0,0.9978046103183316,1.3333333730697632,0.9956188389923329,1.0,0.9978046103183316,1.0,0.9990974050394885,0.9995484987583716
495,30,50,1,2,5,10,483,0.9940351923650462,1.0,0.9970086748429554,2.6666667461395264,0.9946284691136974,1.0,0.9973070017953322,1.0,1.0,1.0
435,30,50,0,0,2,10,1102,1.0,1.0,1.0,3.3333332538604736,1.0,1.0,1.0,1.0,1.0,1.0
435,30,50,0,0,3,10,491,0.9889716552191158,1.0,0.994455252918288,2.6666667461395264,0.9976578510783644,1.0,0.9988275525158768,1.0,1.0,1.0
435,30,50,0,0,5,10,403,0.9949253731343284,1.0,0.997456232231034,1.3333333730697632,0.9949253731343284,1.0,0.997456232231034,1.0,1.0,1.0
675,30,500,4,8,2,10,175,0.9899019899019899,1.0,0.9949253731343284,0.6666666865348816,0.9859488241384411,1.0,0.9929247039547181,NaN,NaN,NaN
675,30,500,4,8,3,10,294,0.9917675064471335,1.0,0.995866739704198,NaN,0.9917675064471335,1.0,0.995866739704198,NaN,NaN,NaN
675,30,500,4,8,5,10,507,0.9941834451901566,1.0,0.997083239847431,0.6666666865348816,0.9944800835446815,1.0,0.997232403321116,NaN,NaN,NaN
615,30,500,3,6,2,10,203,0.9863865048831015,1.0,0.9931466030989273,2.6666667461395264,0.9952224544640191,1.0,0.9976055073331338,NaN,NaN,NaN
615,30,500,3,6,3,10,317,0.998402396405392,1.0,0.9992005596082741,1.3333333730697632,0.998402396405392,1.0,0.9992005596082741,NaN,NaN,NaN
615,30,500,3,6,5,10,485,0.996561518911646,1.0,0.9982777985773119,NaN,0.996561518911646,1.0,0.9982777985773119,NaN,NaN,NaN
555,30,500,2,4,2,10,188,0.982750995134896,1.0,0.9913004684363149,0.6666666865348816,0.9866785079928952,1.0,0.9932945909700492,0.9991419465555283,1.0,0.9995707891348334
555,30,500,2,4,3,10,298,0.9975059856344772,1.0,0.9987514358487739,2.0,0.9975059856344772,1.0,0.9987514358487739,1.0,1.0,1.0
555,30,500,2,4,5,10,460,0.9955197132616488,1.0,0.9977548271216884,0.6666666865348816,0.9955197132616488,1.0,0.9977548271216884,1.0,1.0,1.0
495,30,500,1,2,2,10,1281,0.9612895901918492,0.9915690866510538,0.9761945933483197,8.666666984558105,0.9885652383245065,0.9617096018735363,0.9749525166191833,0.9993800371977681,0.8020698576972833,0.8899193993596114
495,30,500,1,2,3,10,258,0.9934426229508196,1.0,0.9967105263157894,NaN,0.9934426229508196,1.0,0.9967105263157894,1.0,1.0,1.0
495,30,500,1,2,5,10,470,0.9983525535420099,1.0,0.9991755976916735,2.0,0.9983525535420099,1.0,0.9991755976916735,1.0,1.0,1.0
435,30,500,0,0,2,10,1110,0.9389352280918546,1.0,0.9685060279356312,2.6666667461395264,1.0,1.0,1.0,1.0,1.0,1.0
435,30,500,0,0,3,10,418,0.9812206572769953,1.0,0.990521327014218,3.3333332538604736,0.9900396480030945,0.9997070598574358,0.9948498688174132,1.0,1.0,1.0
435,30,500,0,0,5,10,393,0.9943317422434368,1.0,0.9971578160059835,2.6666667461395264,0.9979041916167665,1.0,0.9989509965532744,1.0,1.0,1.0
