Number of C5.0 Attributes,Number of Event Types,Number of Values,Number of Selection Constraints,Number of Attributes,Number of Relevant Types,Number of Negation Constraints,Number of Aggregate Constraints,Number of Parameter Constraints,Frequency of Noisy Events,Window,Number of Errors,Original Precision,Original Recall,Original F-score,Misclassification Cost Estimate,Final Precision,Final Recall,Final F-score,iCEP Precision,iCEP Recall,iCEP F-score
135,15,50,1,2,3,0,0,0,3,10,3393,0.8760309278350515,1.0,0.9339194944360489,10.666666984558105,0.984020918070889,0.9964695498676082,0.9902061102178044,0.981638418079096,1.0,0.9907341411261582
135,15,50,1,2,3,0,0,0,9,10,610,0.9012345679012346,1.0,0.948051948051948,3.3333332538604736,0.9249873289406995,1.0,0.961032122169563,0.9606151537884471,1.0,0.9799119954084561
135,15,50,1,2,3,0,0,0,30,10,970,0.8647810925997675,0.9973190348525469,0.9263332641626895,4.666666507720947,0.9211635750421585,0.9763181411974977,0.9479392624728851,0.5043432939541348,1.0,0.6705162258921353
135,15,50,1,2,3,0,0,0,3,10,2988,0.8371476752589737,1.0,0.9113558877524259,4.0,0.9073107049608355,1.0,0.9514031485284052,0.9883161512027492,1.0,0.994123746975458
135,15,50,1,2,3,0,0,0,9,10,821,0.874826147426982,1.0,0.9332344213649852,3.3333332538604736,0.9452261306532663,0.9968203497615262,0.9703378901212277,0.44721984602224124,1.0,0.618039957441778
135,15,50,1,2,3,0,0,0,30,10,7323,0.6042463404984835,1.0,0.7533086724208796,7.333333492279053,0.9504252229827836,1.0,0.9745825800276507,0.8864994026284349,1.0,0.9398353388220393
135,15,50,1,2,3,0,0,0,3,10,4187,0.669208424110385,0.9787573021773766,0.7949105024800518,3.3333332538604736,0.7783527382492453,0.9585767392458843,0.8591147072822465,0.5882049961370075,1.0,0.7407167180152424
135,15,50,1,2,3,0,0,0,9,10,605,0.9417131272174354,1.0,0.9699817280083529,4.0,0.9717573221757322,1.0,0.9856763925729444,0.9911196911196911,1.0,0.9955400426604615
135,15,50,1,2,3,0,0,0,30,10,5412,0.5381158455392809,0.9993817619783617,0.6995564210754084,8.0,0.913946587537092,0.9520865533230294,0.9326267978803937,0.6702274293590628,1.0,0.8025582834743141
135,15,50,1,2,3,0,0,0,3,10,8079,0.5957093753703924,0.9723350744824918,0.7387917095399089,7.333333492279053,0.8454341317365269,0.8740568775391758,0.8595072767050318,0.7993297587131367,1.0,0.8884750055874245
135,15,50,1,2,3,0,0,0,9,10,525,0.8830297219558965,0.9940636805180788,0.9352627570449352,2.0,0.9150849150849151,0.9886670264436049,0.9504539559014267,0.984463812050019,1.0,0.9921710903188848
135,15,50,1,2,3,0,0,0,30,10,201,0.9687199230028873,1.0,0.9841114641896846,2.0,0.9757634512845371,1.0,0.9877330716388617,0.9746323529411764,1.0,0.987153230310929
135,15,50,1,2,3,0,0,0,3,10,3428,0.7969960103262145,1.0,0.8870314744678072,5.333333492279053,0.947016174010039,1.0,0.9727871670008594,0.9895956490896193,1.0,0.9947706203945804
135,15,50,1,2,3,0,0,0,9,10,558,0.9313627254509018,1.0,0.964461738002594,3.3333332538604736,0.9696811291165708,0.9978483055406132,0.9835630965005302,0.9851258581235698,1.0,0.992507204610951
135,15,50,1,2,3,0,0,0,30,10,255,0.9608404966571156,0.9985111662531018,0.9793137016305671,6.666666507720947,0.9723703344643723,0.9955334987593052,0.9838155958803335,0.9826696165191741,1.0,0.9912590663939
135,15,50,1,2,3,0,0,0,3,10,3167,0.8270205066344994,1.0,0.9053215370394825,5.333333492279053,0.9165775401069519,1.0,0.9564732142857144,0.987012987012987,1.0,0.9934640522875817
135,15,50,1,2,3,0,0,0,9,10,673,0.8867376573088093,0.9989094874591058,0.9394871794871794,1.3333333730697632,0.8703087885985749,0.9989094874591058,0.9301853262249301,0.9795995466565923,1.0,0.9896946564885496
135,15,50,1,2,3,0,0,0,30,10,630,0.880932556203164,0.9962335216572504,0.9350419796730004,4.666666507720947,0.9424877396344182,0.995291902071563,0.9681703686741471,0.48117953165654814,1.0,0.649724792130226
135,15,50,1,2,3,0,0,0,3,10,3543,0.7265127388535032,0.9980858627290129,0.8409169450524133,4.0,0.8539379474940334,0.9783975936560022,0.9119408691219575,0.6140543508097722,1.0,0.7608843537414967
135,15,50,1,2,3,0,0,0,9,10,517,0.931899641577061,0.9989023051591658,0.9642384105960266,4.0,0.9700374531835206,0.9950603732162459,0.9823895963153616,0.9576365663322185,1.0,0.978359908883827
135,15,50,1,2,3,0,0,0,30,10,3527,0.6098164570014436,1.0,0.7576223417883678,12.0,0.9899564780716438,1.0,0.9949528936742933,0.6100575685743312,1.0,0.7578083920496372
135,15,50,1,2,3,0,0,0,3,10,3237,0.8550025393600813,1.0,0.9218343600273785,10.0,0.9932073242764323,0.9988119988119988,0.9960017769880053,0.9897789398621345,1.0,0.9948632182534941
